"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
104,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","Birds Directive, Aichi targets","Zonation","Species",837,"None","None","no","no","Kukkala A.S., Santangeli A., Butchart S.H.M., Maiorano L., Ramirez I., Burfield I.J., Moilanen A.","Coverage of vertebrate species distributions by Important Bird and Biodiversity Areas and Special Protection Areas in the European Union",2016,"Biological Conservation","10.1016/j.biocon.2016.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989957322&doi=10.1016%2fj.biocon.2016.08.010&partnerID=40&md5=ca89de36af820f09856c6a10f37e706d","Birds Directive; Natura 2000 network; Protected area network expansion; Spatial conservation prioritization; Systematic conservation planning; Zonation software","biodiversity; bird; conservation management; conservation planning; European Union; population distribution; prioritization; protected area; software; spatial distribution; species conservation; Amphibia; Aves; Mammalia; Reptilia; Vertebrata","Article","Scopus",18,4
105,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","Habitats Directive, Birds Directive","Zonation","Species",841,"None","None","no","no","Kukkala A.S., Arponen A., Maiorano L., Moilanen A., Thuiller W., Toivonen T., Zupan L., Brotons L., Cabeza M.","Matches and mismatches between national and EU-wide priorities: Examining the Natura 2000 network in vertebrate species conservation",2016,"Biological Conservation","10.1016/j.biocon.2016.04.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964408722&doi=10.1016%2fj.biocon.2016.04.016&partnerID=40&md5=11016261f811f0d4849b46d8b812d2d6","Birds directive; Habitats directive; Representativeness; Spatial prioritization; Systematic conservation planning; Zonation software","bird; conservation planning; decision making; ecological zonation; endangered species; European Union; habitat conservation; prioritization; protected area; software; species conservation; Aves; Vertebrata","Article","Scopus",58,3
106,"Regional","Montenegro, Albania, Kosovo, Macedonia",NA,"Terrestrial","All","Contemporary only","Priority places","Habitats Directive, Case study","Zonation","Species",1,"None","Boundary","no","no","Laze K., Gordon A.","Incorporating natural and human factors in habitat modelling and spatial prioritisation for the iLynx lynx martinoi/i",2016,"Web Ecology","10.5194/we-16-17-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957808105&doi=10.5194%2fwe-16-17-2016&partnerID=40&md5=dc8f4a6e4f511b5b8b9c60c662adef6a",NA,"border region; conservation planning; ecosystem modeling; endangered species; felid; habitat; international cooperation; prioritization; protected area; species conservation; Albania; Kosovo; Macedonia [Southern Europe]; Montenegro; Lynx; Rupicapra rupicapra","Article","Scopus",4,0
107,"Local","Germany","East, Havel-Spree","Freshwater","Rivers","Contemporary only","Priority places","Case study","Marxan*","Species",11,"None","None","no","yes","Langhans S.D., Gessner J., Hermoso V., Wolter C.","Coupling systematic planning and expert judgement enhances the efficiency of river restoration",2016,"Science of the Total Environment","10.1016/j.scitotenv.2016.03.232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963619560&doi=10.1016%2fj.scitotenv.2016.03.232&partnerID=40&md5=ef1b77b2bc57898ed9f401f2bc213dba","Cost-efficiency; Ecological status; Marxan; River restoration planning; Spawning habitat; Water Framework Directive","Conservation; Cost effectiveness; Costs; Ecology; Ecosystems; Efficiency; Environmental regulations; Fish; Fishways; Gravel; Rivers; Water conservation; Cost efficiency; Ecological status; Marxan; River restoration; Spawning habitat; Water Framework Directives; Restoration; cost-benefit analysis; environmental planning; habitat restoration; regulatory framework; restoration ecology; river management; river system; animal community; Article; computer program; ecosystem restoration; environmental management; environmental planning; fish; Germany; nonhuman; population abundance; population migration; priority journal; process optimization; program cost effectiveness; river ecosystem; spawning; species habitat; strategic planning; animal; ecosystem restoration; environmental protection; procedures; river; Germany; Havel River; Spree River; Animals; Conservation of Natural Resources; Environmental Restoration and Remediation; Fishes; Germany; Rivers","Article","Scopus",19,0
108,"Local","Ireland",NA,"Terrestrial","Forest","Contemporary only","Synergies/Tradeoffs","Case study","Integer programming","Other",2,"Multi-objective/criteria","None","no","no","Corrigan E., Nieuwenhuis M.","A linear programming model to biophysically assess some ecosystem service synergies and trade-offs in two Irish landscapes",2016,"Forests","10.3390/f7070128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982859365&doi=10.3390%2ff7070128&partnerID=40&md5=2973c33ce2635b41dd36bcf8fd4af177","Biophysical; Ecosystem services; Linear programming; Optimisation; Remsoft","Commerce; Ecology; Economic and social effects; Forestry; Land use; Linear programming; Reforestation; Wetlands; Biophysical; Ecosystem services; European context; Forest land; Linear programming models; Optimisations; Remsoft; Study areas; Ecosystems; afforestation; ecosystem service; land use planning; landscape; linear programing; optimization; trade-off; Ireland","Article","Scopus",7,0
109,"Local","Spain","Donana","Terrestrial","All","Contemporary only","Management action","Case study","Integer programming","Ecosys. Services / NCP",1,"None","Structural","no","no","Barrena E., Laporte G., Ortega F.A., Pozo M.A.","Planning ecotourism routes in nature parks",2016,"SEMA SIMAI Springer Series","10.1007/978-3-319-32013-7_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022207256&doi=10.1007%2f978-3-319-32013-7_11&partnerID=40&md5=612c1c8bbfa5f6d51539365460a47a14","NA","NA","Book Chapter","Scopus",8,0
110,"Local","Italy","Apulia","Terrestrial","All","Contemporary only","Representation","Case study","GIS overlay/ Ranking / Clustering","Other",1,"None","None","no","yes","Ottomano Palmisano G., Govindan K., Loisi R.V., Dal Sasso P., Roma R.","Greenways for rural sustainable development: An integration between geographic information systems and group analytic hierarchy process",2016,"Land Use Policy","10.1016/j.landusepol.2015.10.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945586603&doi=10.1016%2fj.landusepol.2015.10.016&partnerID=40&md5=76faa7c587fafbc32c2570aa912299f0","Geographic information systems; Greenway; Group analytic hierarchy process; Multiple criteria decision aiding; Rural sustainable development; Spatial decision support systems","analytical hierarchy process; decision support system; GIS; multicriteria analysis; policy implementation; policy making; rural development; sustainable development; Italy; Puglia","Article","Scopus",67,0
111,"Local","Germany","Saxony","Terrestrial","Grassland","Both","Multiple","case study","Other","Multiple",37,"Other","None","yes","no","Wätzold F., Drechsler M., Johst K., Mewes M., Sturm A.","A Novel, Spatiotemporally Explicit Ecological-economic Modeling Procedure for the Design of Cost-effective Agri-environment Schemes to Conserve Biodiversity",2016,"American Journal of Agricultural Economics","10.1093/ajae/aav058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966415423&doi=10.1093%2fajae%2faav058&partnerID=40&md5=6d9e48358d77814bbee680809c60d4e9","agri-environment schemes; Biodiversity conservation; birds; butterflies; cost-effectiveness; DSS-Ecopay; grassland; payments for environmental services","biodiversity; bird; butterfly; cost-benefit analysis; ecological modeling; ecosystem service; endangered species; grassland; land use; spatiotemporal analysis; Germany; Saxony; Aves; Papilionoidea","Review","Scopus",41,0
112,"Local","Norway","Telemark","Terrestrial","All","Contemporary only","Representation","None","Marxan*","Ecosys. Services / NCP",5,"None","Boundary","yes","no","Schröter M., Remme R.P.","Spatial prioritisation for conserving ecosystem services: comparing hotspots with heuristic optimisation",2016,"Landscape Ecology","10.1007/s10980-015-0258-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955341398&doi=10.1007%2fs10980-015-0258-5&partnerID=40&md5=1f58a2d15e1a6fb7212218c9e2036be9","Hot spot; Mapping; Modelling; Overlap","NA","Article","Scopus",99,0
113,"Local","Finland","Kainuu","Terrestrial",NA,"Contemporary only","Management action","case study","GIS overlay/ Ranking / Clustering","Multiple",4,"None","None","no","no","Kangas K.M., Tolvanen A., Tarvainen O., Nikula A., Nivala V., Huhta E., Jäkäläniemi A.","A method for assessing ecological values to reconcile multiple land use needs",2016,"Ecology and Society","10.5751/ES-08590-210305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989201833&doi=10.5751%2fES-08590-210305&partnerID=40&md5=48d21bf903c9f92e45302d0523ac9ffd","Biodiversity; Conservation; Ecological value; Land use planning; Modeling; Spatial data; Tourism","biodiversity; land use planning; modeling; nature conservation; spatial data; tourism development; Finland","Article","Scopus",9,0
114,"National","Denmark",NA,"Terrestrial",NA,"Contemporary only","Priority places","case study","Other","Species",900,"Constrains","None","yes","no","A.H. Petersen, N. Strange, S. Anthon, T.B. Bjørner, C. Rahbek","Conserving what, where and how? Cost-efficient measures to conserve biodiversity in Denmark",2016,"Journal of Nature Conservation","10.1016/j.jnc.2015.10.004","https://doi.org/10.1016/j.jnc.2015.10.004",NA,NA,"Article","Manual",19,1
115,"Regional","Spain, Portugal",NA,"Terrestrial",NA,"Both","Representation","case study","Integer programming","Species",2,"Constrains","Functional","yes","no","Alagador, D., Cerdeira, J. O., & Araújo, M. B.","Climate change, species range shifts and dispersal corridors: an evaluation of spatial conservation models",2016,"Methods in Ecology and Evolution","10.1111/2041-210x.12524","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.12524","connectivity, conservation planning, effectiveness, efficiency, graph theory, Marxan, mathematical programming, network flow, persistence, prioritisation, reserve selection, Worldmap, Zonation",NA,"Article","Manual",54,3
116,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","None","Zonation","Species",275,"None","None","no","no","Anni Arponen and Laure Zupan","Representing Hotspots of Evolutionary History in Systematic Conservation Planning for European Mammals",2016,"Biodiversity conservation and phylogenetic systematics",NA,"https://library.oapen.org/bitstream/handle/20.500.12657/28124/1001870.pdf?sequence=1#page=273",NA,NA,"Article","Manual",0,0
117,"Local","United Kingdom","Gloucestershire","Freshwater","River, Wetlands, Coastal","Contemporary only","Management action","Case study","Other","Ecosys. Services / NCP",4,"Multi-objective/criteria","None","no","yes","McInnes R.; Smith G.; Greaves J.; Watson D.; Wood N.; Everard M.","Multicriteria decision analysis for the evaluation of water quality improvement and ecosystem service provision",2016,"Water and Environment Journal","10.1111/wej.12195",NA,NA,NA,"Article","Manual",12,0
118,"National","Austria",NA,"Freshwater","Rivers","Both","Management action","EU Water Framework Directive, Habitats Directive","Other","Multiple",36,"Multi-objective/criteria","None","yes","no","Seliger, C., Scheikl, S., Schmutz, S., Schinegger, R., Fleck, S., Neubarth, J., ... & Muhar, S.","Hy: Con: a strategic tool for balancing hydropower development and conservation needs",2016,"River Research and Applications","10.1002/rra.2985",NA,NA,NA,"Article","Manual",0,0
119,"Local","United Kingdom","Wales","Marine","All","Contemporary only","Representation","none","Marxan*","Ecosystems",20,"None","None","no","no","House C., Redmond D., Phillips M.R.","An assessment of the efficiency and ecological representativity of existing marine reserve networks in Wales, UK",2017,"Ocean and Coastal Management","10.1016/j.ocecoaman.2017.04.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019711736&doi=10.1016%2fj.ocecoaman.2017.04.016&partnerID=40&md5=85596aaed6ab9e82c59beb3cd3efe566","Marine management; Marine protected areas; Marxan; Opportunity costs","Biodiversity; Conservation; Cost reduction; Costs; Ecosystems; Efficiency; Conservation planning; Conservation targets; Current conservation; European environment agencies; Marine management; Marine protected area; Marxan; Opportunity costs; Environmental protection; assessment method; biodiversity; conservation status; cost analysis; habitat management; habitat type; marine park; prediction; reserve design; software; United Kingdom; Wales","Article","Scopus",7,1
